name,type,dex_num,category,target,power,accuracy,priority,pp,short_description,long_description,has_secondary_effect,is_multi_hit,multi_hit_high,multi_hit_low,ignores_substitute,ignores_protect,bounceable,bite,bullet,contact,dance,heal,powder,pulse,punch,slice,sound,wind,boosted_by_sheer_force,ohko,is_z_move,is_max_move,is_legal
Max Rockfall,"""Rock""",770,Physical,adjacentFoe,10,-1,0,10,Base move affects power. Starts Sandstorm.,"Power is equal to the base move's Max Move power. If this move is successful, the effect of Sandstorm begins. This effect does not happen if the user is not Dynamaxed. If this move is used as a base move, it deals damage with a power of 0.",0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Max Starfall,"""Fairy""",767,Physical,adjacentFoe,10,-1,0,10,Base move affects power. Starts Misty Terrain.,"Power is equal to the base move's Max Move power. If this move is successful, the effect of Misty Terrain begins. This effect does not happen if the user is not Dynamaxed. If this move is used as a base move, it deals damage with a power of 0.",0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Max Steelspike,"""Steel""",774,Physical,adjacentFoe,10,-1,0,10,Base move affects power. Allies: +1 Defense.,"Power is equal to the base move's Max Move power. If this move is successful, the Defense of each Pokemon on the user's side is raised by 1 stage, even if they have a substitute. This effect does not happen if the user is not Dynamaxed. If this move is used as a base move, it deals damage with a power of 0.",0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Max Strike,"""Normal""",760,Physical,adjacentFoe,10,-1,0,10,Base move affects power. Foes: -1 Speed.,"Power is equal to the base move's Max Move power. If this move is successful, the Speed of each Pokemon on the opposing side is lowered by 1 stage, even if they have a substitute. This effect does not happen if the user is not Dynamaxed. If this move is used as a base move, it deals damage with a power of 0.",0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Max Wyrmwind,"""Dragon""",768,Physical,adjacentFoe,10,-1,0,10,Base move affects power. Foes: -1 Attack.,"Power is equal to the base move's Max Move power. If this move is successful, the Attack of each Pokemon on the opposing side is lowered by 1 stage, even if they have a substitute. This effect does not happen if the user is not Dynamaxed. If this move is used as a base move, it deals damage with a power of 0.",0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mean Look,"""Normal""",212,Status,normal,0,-1,0,5,Prevents the target from switching out.,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field.",0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Meditate,"""Psychic""",96,Status,self,0,-1,0,40,Raises the user's Attack by 1.,Raises the user's Attack by 1 stage.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me First,"""Normal""",382,Status,adjacentFoe,0,-1,0,20,Copies a foe at 1.5x power. User must be faster.,"The user uses the move the target chose for use this turn against it, if possible, with its power multiplied by 1.5. The move must be a damaging move other than Beak Blast, Belch, Blazing Torque, Combat Torque, Comeuppance, Counter, Covet, Focus Punch, Magical Torque, Me First, Metal Burst, Mirror Coat, Noxious Torque, Shell Trap, Struggle, Thief, or Wicked Torque. Fails if the target moves before the user. Ignores the target's substitute for the purpose of copying the move.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mega Drain,"""Grass""",72,Special,normal,40,100,0,15,User recovers 50% of the damage dealt.,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Megahorn,"""Bug""",224,Physical,normal,120,85,0,10,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mega Kick,"""Normal""",25,Physical,normal,120,75,0,5,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mega Punch,"""Normal""",5,Physical,normal,80,85,0,20,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Memento,"""Dark""",262,Status,normal,0,100,0,10,"Lowers target's Attack, Sp. Atk by 2. User faints.","Lowers the target's Attack and Special Attack by 2 stages. The user faints unless this move misses or there is no target. Fails entirely if this move hits a substitute, but does not fail if the target's stats cannot be changed.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Menacing Moonraze Maelstrom,"""Ghost""",725,Special,normal,200,-1,0,1,Ignores the Abilities of other Pokemon.,This move and its effects ignore the Abilities of other Pokemon.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Metal Burst,"""Steel""",368,Physical,scripted,0,100,0,10,"If hit by an attack, returns 1.5x damage.","Deals damage to the last opposing Pokemon to hit the user with a physical or special attack this turn equal to 1.5 times the HP lost by the user from that attack, rounded down. If the user did not lose HP from that attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's physical or special attack this turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Metal Claw,"""Steel""",232,Physical,normal,50,95,0,35,10% chance to raise the user's Attack by 1.,Has a 10% chance to raise the user's Attack by 1 stage.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Metal Sound,"""Steel""",319,Status,normal,0,85,0,40,Lowers the target's Sp. Def by 2.,Lowers the target's Special Defense by 2 stages.,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Meteor Assault,"""Fighting""",794,Physical,normal,150,100,0,5,User cannot move next turn.,"If this move is successful, the user must recharge on the following turn and cannot select a move.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meteor Beam,"""Rock""",800,Special,normal,120,90,0,10,Raises user's Sp. Atk by 1 on turn 1. Hits turn 2.,"This attack charges on the first turn and executes on the second. Raises the user's Special Attack by 1 stage on the first turn. If the user is holding a Power Herb, the move completes in one turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Meteor Mash,"""Steel""",309,Physical,normal,90,90,0,10,20% chance to raise the user's Attack by 1.,Has a 20% chance to raise the user's Attack by 1 stage.,1,0,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Metronome,"""Normal""",118,Status,self,0,-1,0,10,Picks a random move.,"A random move is selected for use, other than After You, Apple Acid, Armor Cannon, Assist, Astral Barrage, Aura Wheel, Baneful Bunker, Beak Blast, Behemoth Bash, Behemoth Blade, Belch, Bestow, Blazing Torque, Body Press, Branch Poke, Breaking Swipe, Celebrate, Chatter, Chilling Water, Chilly Reception, Clangorous Soul, Collision Course, Combat Torque, Comeuppance, Copycat, Counter, Covet, Crafty Shield, Decorate, Destiny Bond, Detect, Diamond Storm, Doodle, Double Iron Bash, Double Shock, Dragon Ascent, Dragon Energy, Drum Beating, Dynamax Cannon, Electro Drift, Endure, Eternabeam, False Surrender, Feint, Fiery Wrath, Fillet Away, Fleur Cannon, Focus Punch, Follow Me, Freeze Shock, Freezing Glare, Glacial Lance, Grav Apple, Helping Hand, Hold Hands, Hyper Drill, Hyperspace Fury, Hyperspace Hole, Ice Burn, Instruct, Jet Punch, Jungle Healing, King's Shield, Life Dew, Light of Ruin, Magical Torque, Make It Rain, Mat Block, Me First, Meteor Assault, Metronome, Mimic, Mind Blown, Mirror Coat, Mirror Move, Moongeist Beam, Nature Power, Nature's Madness, Noxious Torque, Obstruct, Order Up, Origin Pulse, Overdrive, Photon Geyser, Plasma Fists, Population Bomb, Pounce, Power Shift, Precipice Blades, Protect, Pyro Ball, Quash, Quick Guard, Rage Fist, Rage Powder, Raging Bull, Raging Fury, Relic Song, Revival Blessing, Ruination, Salt Cure, Secret Sword, Shed Tail, Shell Trap, Silk Trap, Sketch, Sleep Talk, Snap Trap, Snarl, Snatch, Snore, Snowscape, Spectral Thief, Spicy Extract, Spiky Shield, Spirit Break, Spotlight, Springtide Storm, Steam Eruption, Steel Beam, Strange Steam, Struggle, Sunsteel Strike, Surging Strikes, Switcheroo, Techno Blast, Tera Starstorm, Thief, Thousand Arrows, Thousand Waves, Thunder Cage, Thunderous Kick, Tidy Up, Trailblaze, Transform, Trick, Twin Beam, V-create, Wicked Blow, Wicked Torque, or Wide Guard.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mighty Cleave,"""Rock""",910,Physical,normal,95,100,0,5,Bypasses protection without breaking it.,Bypasses protection without breaking it.,0,0,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Milk Drink,"""Normal""",208,Status,self,0,-1,0,5,Heals the user by 50% of its max HP.,"The user restores 1/2 of its maximum HP, rounded half up.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mimic,"""Normal""",102,Status,normal,0,-1,0,10,The last move the target used replaces this one.,"While the user remains active, this move is replaced by the last move used by the target. The copied move has the maximum PP for that move. Fails if the target has not made a move, if the user has Transformed, if the user already knows the move, or if the move is Assist, Behemoth Bash, Behemoth Blade, Belch, Blazing Torque, Celebrate, Chatter, Combat Torque, Copycat, Dynamax Cannon, Hold Hands, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Sketch, Sleep Talk, Struggle, Tera Starstorm, Transform, or Wicked Torque.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mind Blown,"""Fire""",720,Special,allAdjacent,150,100,0,5,User loses 50% max HP. Hits adjacent Pokemon.,"Whether or not this move is successful and even if it would cause fainting, the user loses 1/2 of its maximum HP, rounded up, unless the user has the Magic Guard Ability. This move is prevented from executing and the user does not lose HP if any active Pokemon has the Damp Ability, or if this move is Fire type and the user is affected by Powder or the weather is Primordial Sea.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mind Reader,"""Normal""",170,Status,normal,0,-1,0,5,User's next move will not miss the target.,"Until the end of the next turn, the target cannot avoid the user's moves, even if the target is in the middle of a two-turn move. The effect ends if either the user or the target leaves the field. Fails if this effect is active for the user.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minimize,"""Normal""",107,Status,self,0,-1,0,10,Raises the user's evasiveness by 2.,"Raises the user's evasiveness by 2 stages. Whether or not the user's evasiveness was changed, Body Slam, Dragon Rush, Flying Press, Heat Crash, Heavy Slam, Malicious Moonsault, Steamroller, Stomp, and Supercell Slam will not check accuracy and have their damage doubled if used against the user while it is active.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Miracle Eye,"""Psychic""",357,Status,normal,0,-1,0,40,Psychic hits Dark. Evasiveness ignored.,"As long as the target remains active, its evasiveness stat stage is ignored during accuracy checks against it if it is greater than 0, and Psychic-type attacks can hit the target if it is a Dark type. Fails if the target is already affected, or affected by Foresight or Odor Sleuth.",0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirror Coat,"""Psychic""",243,Special,scripted,0,100,-5,20,"If hit by special attack, returns double damage.","Deals damage to the last opposing Pokemon to hit the user with a special attack this turn equal to twice the HP lost by the user from that attack. If the user did not lose HP from the attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's special attack this turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mirror Move,"""Flying""",119,Status,normal,0,-1,0,20,User uses the target's last used move against it.,"The user uses the last move used by the target. The copied move is used against that target, if possible. Fails if the target has not made a move, or if the last move used cannot be copied by this move.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirror Shot,"""Steel""",429,Special,normal,65,85,0,10,30% chance to lower the target's accuracy by 1.,Has a 30% chance to lower the target's accuracy by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mist,"""Ice""",54,Status,allySide,0,-1,0,30,"For 5 turns, protects user's party from stat drops.","For 5 turns, the user and its party members are protected from having their stat stages lowered by other Pokemon. Fails if the effect is already active on the user's side.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mist Ball,"""Psychic""",296,Special,normal,95,100,0,5,50% chance to lower the target's Sp. Atk by 1.,Has a 50% chance to lower the target's Special Attack by 1 stage.,1,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Misty Explosion,"""Fairy""",802,Special,allAdjacent,100,100,0,5,User faints. User on Misty Terrain: 1.5x power.,"If the current terrain is Misty Terrain and the user is grounded, this move's power is multiplied by 1.5. The user faints after using this move, even if this move fails for having no target. This move is prevented from executing if any active Pokemon has the Damp Ability.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Misty Terrain,"""Fairy""",581,Status,all,0,-1,0,10,"5 turns. Can't status,-Dragon power vs grounded.","For 5 turns, the terrain becomes Misty Terrain. During the effect, the power of Dragon-type attacks used against grounded Pokemon is multiplied by 0.5 and grounded Pokemon cannot be inflicted with a non-volatile status condition nor confusion. Grounded Pokemon can become affected by Yawn but cannot fall asleep from its effect. Camouflage transforms the user into a Fairy type, Nature Power becomes Moonblast, and Secret Power has a 30% chance to lower Special Attack by 1 stage. Fails if the current terrain is Misty Terrain.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Moonblast,"""Fairy""",585,Special,normal,95,100,0,15,30% chance to lower the target's Sp. Atk by 1.,Has a 30% chance to lower the target's Special Attack by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Moongeist Beam,"""Ghost""",714,Special,normal,100,100,0,5,Ignores the Abilities of other Pokemon.,This move and its effects ignore the Abilities of other Pokemon.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Moonlight,"""Fairy""",236,Status,self,0,-1,0,5,Heals the user by a weather-dependent amount.,"The user restores 1/2 of its maximum HP if Delta Stream or no weather conditions are in effect or if the user is holding Utility Umbrella, 2/3 of its maximum HP if the weather is Desolate Land or Sunny Day, and 1/4 of its maximum HP if the weather is Primordial Sea, Rain Dance, Sandstorm, or Snow, all rounded half down.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Morning Sun,"""Normal""",234,Status,self,0,-1,0,5,Heals the user by a weather-dependent amount.,"The user restores 1/2 of its maximum HP if Delta Stream or no weather conditions are in effect or if the user is holding Utility Umbrella, 2/3 of its maximum HP if the weather is Desolate Land or Sunny Day, and 1/4 of its maximum HP if the weather is Primordial Sea, Rain Dance, Sandstorm, or Snow, all rounded half down.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mortal Spin,"""Poison""",866,Physical,allAdjacentFoes,30,100,0,15,"Poisons foes, frees user from hazards/bind/leech.","If this move is successful and the user has not fainted, the effects of Leech Seed and binding moves end for the user, and all hazards are removed from the user's side of the field. Has a 100% chance to poison the target.",1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Mountain Gale,"""Ice""",836,Physical,normal,100,85,0,10,30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Mud Bomb,"""Ground""",426,Special,normal,65,85,0,10,30% chance to lower the target's accuracy by 1.,Has a 30% chance to lower the target's accuracy by 1 stage.,1,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mud Shot,"""Ground""",341,Special,normal,55,95,0,15,100% chance to lower the target's Speed by 1.,Has a 100% chance to lower the target's Speed by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Mud-Slap,"""Ground""",189,Special,normal,20,100,0,10,100% chance to lower the target's accuracy by 1.,Has a 100% chance to lower the target's accuracy by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Mud Sport,"""Ground""",300,Status,all,0,-1,0,15,"For 5 turns, Electric-type attacks have 1/3 power.","For 5 turns, all Electric-type attacks used by any active Pokemon have their power multiplied by 0.33. Fails if this effect is already active.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muddy Water,"""Water""",330,Special,allAdjacentFoes,90,85,0,10,30% chance to lower the foe(s) accuracy by 1.,Has a 30% chance to lower the target's accuracy by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Multi-Attack,"""Normal""",718,Physical,normal,120,100,0,10,Type varies based on the held Memory.,This move's type depends on the user's held Memory.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mystical Fire,"""Fire""",595,Special,normal,75,100,0,10,100% chance to lower the target's Sp. Atk by 1.,Has a 100% chance to lower the target's Special Attack by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Mystical Power,"""Psychic""",832,Special,normal,70,90,0,10,100% chance to raise the user's Sp. Atk by 1.,Has a 100% chance to raise the user's Special Attack by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Nasty Plot,"""Dark""",417,Status,self,0,-1,0,20,Raises the user's Sp. Atk by 2.,Raises the user's Special Attack by 2 stages.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Natural Gift,"""Normal""",363,Physical,normal,0,100,0,15,Power and type depends on the user's Berry.,"The type and power of this move depend on the user's held Berry, and the Berry is lost. Fails if the user is not holding a Berry, if the user has the Klutz Ability, or if Embargo or Magic Room is in effect for the user.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature Power,"""Normal""",267,Status,normal,0,-1,0,20,Attack depends on terrain (default Tri Attack).,"This move calls another move for use based on the battle terrain. Tri Attack on the regular Wi-Fi terrain, Thunderbolt during Electric Terrain, Moonblast during Misty Terrain, Energy Ball during Grassy Terrain, and Psychic during Psychic Terrain.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature's Madness,"""Fairy""",717,Special,normal,0,90,0,10,Does damage equal to 1/2 target's current HP.,"Deals damage to the target equal to half of its current HP, rounded down, but not less than 1 HP.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Needle Arm,"""Grass""",302,Physical,normal,60,100,0,15,30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Never-Ending Nightmare,"""Ghost""",636,Physical,normal,1,-1,0,1,Power is equal to the base move's Z-Power.,Power is equal to the base move's Z-Power.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Night Daze,"""Dark""",539,Special,normal,85,95,0,10,40% chance to lower the target's accuracy by 1.,Has a 40% chance to lower the target's accuracy by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Nightmare,"""Ghost""",171,Status,normal,0,100,0,15,A sleeping target is hurt by 1/4 max HP per turn.,"Causes the target to lose 1/4 of its maximum HP, rounded down, at the end of each turn as long as it is asleep. This move does not affect the target unless it is asleep. The effect ends when the target wakes up, even if it falls asleep again in the same turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Night Shade,"""Ghost""",101,Special,normal,0,100,0,15,Does damage equal to the user's level.,Deals damage to the target equal to the user's level.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Night Slash,"""Dark""",400,Physical,normal,70,100,0,15,High critical hit ratio.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Noble Roar,"""Normal""",568,Status,normal,0,100,0,30,Lowers the target's Attack and Sp. Atk by 1.,Lowers the target's Attack and Special Attack by 1 stage.,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
No Retreat,"""Fighting""",748,Status,self,0,-1,0,5,Raises all stats by 1 (not acc/eva). Traps user.,"Raises the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage, but it becomes prevented from switching out. The user can still switch out if it uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. Fails if the user has already been prevented from switching by this effect.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Noxious Torque,"""Poison""",898,Physical,normal,100,100,0,10,30% chance to poison the target.,Has a 30% chance to poison the target.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nuzzle,"""Electric""",609,Physical,normal,20,100,0,20,100% chance to paralyze the target.,Has a 100% chance to paralyze the target.,1,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Oblivion Wing,"""Flying""",613,Special,any,80,100,0,10,User recovers 75% of the damage dealt.,"The user recovers 3/4 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Obstruct,"""Dark""",792,Status,self,0,100,4,10,Protects from damaging attacks. Contact: -2 Def.,"The user is protected from most attacks made by other Pokemon during this turn, and Pokemon trying to make contact with the user have their Defense lowered by 2 stages. Non-damaging moves go through this protection. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanic Operetta,"""Water""",697,Special,normal,195,-1,0,1,No additional effect.,No additional effect.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Octazooka,"""Water""",190,Special,normal,65,85,0,10,50% chance to lower the target's accuracy by 1.,Has a 50% chance to lower the target's accuracy by 1 stage.,1,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Octolock,"""Fighting""",753,Status,normal,0,100,0,15,"Traps target, lowers Def and SpD by 1 each turn.","Prevents the target from switching out. At the end of each turn during effect, the target's Defense and Special Defense are lowered by 1 stage. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odor Sleuth,"""Normal""",316,Status,normal,0,-1,0,40,"Fighting, Normal hit Ghost. Evasiveness ignored.","As long as the target remains active, its evasiveness stat stage is ignored during accuracy checks against it if it is greater than 0, and Normal- and Fighting-type attacks can hit the target if it is a Ghost type. Fails if the target is already affected, or affected by Foresight or Miracle Eye.",0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ominous Wind,"""Ghost""",466,Special,normal,60,100,0,5,10% chance to raise all stats by 1 (not acc/eva).,"Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage.",1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Order Up,"""Dragon""",856,Physical,normal,80,100,0,10,Curly|Droopy|Stretchy eaten: +1 Atk|Def|Spe.,"If an ally Tatsugiri has activated its Commander Ability, this move raises the user's Attack by 1 stage if the Tatsugiri is Curly Form, Defense by 1 stage if Droopy Form, or Speed by 1 stage if Stretchy Form. The effect happens even if the Tatsugiri that activated the effect has since fainted.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Origin Pulse,"""Water""",618,Special,allAdjacentFoes,110,85,0,10,No additional effect. Hits adjacent foes.,No additional effect.,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Outrage,"""Dragon""",200,Physical,randomNormal,120,100,0,10,Lasts 2-3 turns. Confuses the user afterwards.,"The user spends two or three turns locked into this move and becomes confused immediately after its move on the last turn of the effect if it is not already. This move targets an opposing Pokemon at random on each turn. If the user is prevented from moving, is asleep at the beginning of a turn, or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk and the user is asleep, the move is used for one turn and does not confuse the user.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Overdrive,"""Electric""",786,Special,allAdjacentFoes,80,100,0,10,No additional effect. Hits foe(s).,No additional effect.,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Overheat,"""Fire""",315,Special,normal,130,90,0,5,Lowers the user's Sp. Atk by 2.,Lowers the user's Special Attack by 2 stages.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pain Split,"""Normal""",220,Status,normal,0,-1,0,20,Shares HP of user and target equally.,"The user and the target's HP become the average of their current HP, rounded down, but not more than the maximum HP of either one.",0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Parabolic Charge,"""Electric""",570,Special,allAdjacent,65,100,0,20,User recovers 50% of the damage dealt.,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Parting Shot,"""Dark""",575,Status,normal,0,100,0,20,"Lowers target's Atk, Sp. Atk by 1. User switches.","Lowers the target's Attack and Special Attack by 1 stage. If this move is successful, the user switches out even if it is trapped and is replaced immediately by a selected party member. The user does not switch out if the target's Attack and Special Attack stat stages were both unchanged, or if there are no unfainted party members.",0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Payback,"""Dark""",371,Physical,normal,50,100,0,10,Power doubles if the user moves after the target.,"Power doubles if the user moves after the target this turn, including actions taken through Instruct or the Dancer Ability. Switching in does not count as an action.",0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Pay Day,"""Normal""",6,Physical,normal,40,100,0,20,Scatters coins.,No additional effect.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Peck,"""Flying""",64,Physical,any,35,100,0,35,No additional effect.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Perish Song,"""Normal""",195,Status,all,0,-1,0,5,All active Pokemon will faint in 3 turns.,"Each active Pokemon receives a perish count of 4 if it doesn't already have a perish count. At the end of each turn including the turn used, the perish count of all active Pokemon lowers by 1 and Pokemon faint if the number reaches 0. The perish count is removed from Pokemon that switch out. If a Pokemon uses Baton Pass while it has a perish count, the replacement will gain the perish count and continue to count down.",0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
